Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
creditcard-1-13,2023-01-09,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: SONIC DRIVE IN #1496 ATOKA,11.57,
creditcard-1-14,2023-01-09,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: SONIC DRIVE IN #1496 ATOKA,,11.57
creditcard-1-15,2023-01-10,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART DGTC 831-20198,5.79,
creditcard-1-16,2023-01-10,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART DGTC 831-20198,,5.79
creditcard-1-17,2023-01-10,600503,Grocery,GROCERY STORES OR SUPERMARKETS: WAL-MART #0001 ROGERS,198.31,
creditcard-1-18,2023-01-10,200101,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WAL-MART #0001 ROGERS,,198.31
creditcard-1-19,2023-01-10,600201,Gas - AUTOMATED FUEL DISPENSERS,AUTOMATED FUEL DISPENSERS: RACETRAC 656 00006569 KELLER,22.53,
creditcard-1-20,2023-01-10,200101,EdwardJones MasterCard,AUTOMATED FUEL DISPENSERS: RACETRAC 656 00006569 KELLER,,22.53
creditcard-1-21,2023-01-10,601003,Misc - Discount Store,DISCOUNT STORES: MARSHALLS #1195 ROGERS,54.74,
creditcard-1-22,2023-01-10,200101,EdwardJones MasterCard,DISCOUNT STORES: MARSHALLS #1195 ROGERS,,54.74
creditcard-1-23,2023-01-10,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,1.92,
